Image,Score,IR_Cnt,VI_Cnt,FusionMamba_Cnt,ITFuse_Cnt,MAEFuse_Cnt,SFDFuse_Cnt,LAMF_Cnt,LAMF_AvgConf,LAMF_Persons,LAMF_Vehicles
01977.png,5.3526449373790195,1,7,3,5,4,6,7,0.353,7,0
03019.png,5.1067783907055855,5,5,8,8,9,9,8,0.607,0,8
01599.png,5.024089351296425,4,6,8,6,4,8,8,0.524,1,4
01856.png,4.991152983903885,2,9,7,7,4,9,10,0.491,2,0
01913.png,4.9890819887320195,1,2,2,2,2,2,3,0.489,2,0
00800.png,4.967145025730133,0,0,2,1,0,0,2,0.467,1,0
01937.png,4.935788468881087,10,10,11,13,13,11,11,0.436,11,0
01584.png,4.557764112949371,4,9,12,12,9,11,11,0.558,3,6
00512.png,4.534147956967354,9,7,9,10,11,9,10,0.534,7,2
00497.png,4.515043672588137,9,4,8,8,7,8,9,0.515,5,3
00400.png,4.476471740752459,6,2,7,9,10,8,8,0.476,6,2
00826.png,4.23055575042963,3,3,3,4,4,4,4,0.731,3,0
00011.png,4.2296208322048185,8,8,10,10,11,10,10,0.73,2,8
01996.png,4.22060923576355,3,4,4,4,4,4,5,0.721,0,5
00449.png,4.2059445551463535,6,6,6,6,5,7,7,0.706,3,3
00829.png,4.2058278024196625,3,3,4,4,4,4,4,0.706,3,0
00082.png,4.152752213180065,2,2,4,5,4,4,4,0.653,2,2
03989.png,4.128849915482781,11,10,11,12,11,11,11,0.629,10,0
02249.png,4.123476956571851,5,6,6,5,6,6,7,0.623,0,7
01608.png,4.057758847872416,6,8,9,9,9,9,9,0.558,3,6
02709.png,4.014552395452153,4,10,10,8,8,10,11,0.515,0,11
01670.png,4.011133495304319,5,7,10,6,4,10,9,0.511,2,7
00389.png,3.9434074833989143,13,4,9,11,11,10,12,0.443,8,2
01985.png,3.886950126716069,0,7,5,7,5,6,7,0.387,7,0
00926.png,3.6894854605197906,1,0,2,2,2,2,2,0.689,2,0
01587.png,3.528838521242142,6,9,8,10,10,10,10,0.529,2,7
01929.png,3.506313592195511,2,2,2,3,3,2,3,0.506,2,0
00097.png,3.5003473659356437,1,2,3,1,1,3,3,0.5,2,0
01963.png,3.392663282155991,11,7,9,8,8,10,10,0.393,10,0
00769.png,3.3385377377271652,1,0,1,1,0,2,2,0.339,2,0
00671.png,3.2108231842517854,4,3,3,5,4,5,5,0.711,1,4
00633.png,3.2022416591644287,7,6,7,8,9,7,8,0.702,4,4
04092.png,3.1899752020835876,4,4,5,5,4,4,5,0.69,1,4
03433.png,3.1657916978001595,6,7,7,6,7,8,8,0.666,1,7
00385.png,3.141657903790474,1,1,2,2,2,2,2,0.642,1,0
00147.png,3.1221356557475195,9,17,16,15,16,19,18,0.622,4,14
00405.png,3.052754568202155,15,6,13,12,11,14,14,0.553,9,5
00061.png,3.0120268847261156,5,6,6,8,7,6,7,0.512,4,3
01034.png,3.0099875926971436,6,1,6,6,5,6,6,0.51,5,0
02337.png,2.975615069270134,2,2,5,3,3,5,4,0.476,0,3
01867.png,2.818279951810837,0,0,0,0,0,1,1,0.318,1,0
01093.png,2.683392365773519,0,5,6,6,5,6,6,0.683,0,5
02073.png,2.639497709274292,6,10,8,9,8,9,10,0.639,1,9
00871.png,2.6329351663589478,3,2,5,5,5,4,4,0.633,3,0
00834.png,2.5991313457489014,3,4,4,3,4,4,4,0.599,4,0
02846.png,2.5791111886501312,1,1,2,1,1,2,2,0.579,0,2
01442.png,2.564408227801323,4,0,4,2,3,4,4,0.564,4,0
01443.png,2.5268458276987076,4,2,4,4,4,4,4,0.527,4,0
02786.png,2.5183199644088745,1,2,3,2,2,2,3,0.518,0,2
01101.png,2.516109206846782,1,6,6,5,7,6,7,0.516,0,5
02450.png,2.5107557252049446,3,3,3,3,3,4,4,0.511,0,3
02778.png,2.5105937719345093,0,0,1,1,0,1,1,0.511,0,0
03640.png,2.506587280676915,7,13,12,11,9,13,13,0.507,4,9
00677.png,2.497262431042535,6,5,6,5,6,7,7,0.497,0,7
01659.png,2.478241524526051,1,6,7,6,6,8,7,0.478,3,4
01494.png,2.372699737548828,3,3,3,3,3,3,3,0.873,3,0
00177.png,2.262663167715073,7,9,11,11,10,10,10,0.763,2,8
00965.png,2.246416529019674,3,0,3,3,3,3,3,0.746,3,0
00958.png,2.2319862047831216,3,1,3,3,3,3,3,0.732,3,0
03836.png,2.1703014501503537,4,7,7,7,6,7,7,0.67,3,3
01156.png,2.129219720760981,3,1,2,3,2,3,3,0.629,3,0
00805.png,2.120692014694214,3,2,3,3,2,3,3,0.621,3,0
03575.png,2.116454074780146,11,18,17,16,16,18,18,0.616,3,15
00390.png,2.0752774907482996,9,10,8,9,7,9,9,0.575,7,1
01223.png,2.042277134127087,6,8,10,8,6,9,9,0.542,2,5
02522.png,1.9446415230631828,1,3,5,3,4,4,4,0.445,2,2
00857.png,1.861138254404068,3,3,3,2,2,3,3,0.361,3,0
04026.png,1.8004693984985352,2,2,2,2,2,2,2,0.8,2,0
01301.png,1.7886353731155396,2,2,2,2,2,2,2,0.789,2,0
00306.png,1.7755727022886276,2,4,4,4,4,4,4,0.776,2,0
00916.png,1.7716203331947327,2,0,2,2,2,2,2,0.772,2,0
01320.png,1.7606867551803589,2,2,2,2,2,2,2,0.761,2,0
00896.png,1.7568223178386688,2,1,2,2,2,2,2,0.757,2,0
00320.png,1.6838587746024132,2,4,4,4,4,4,4,0.684,2,0
01789.png,1.6344144145647683,2,3,3,3,2,3,3,0.634,2,0
01783.png,1.6222061912218728,3,3,3,3,3,3,3,0.622,2,0
01779.png,1.6140421628952026,3,3,3,3,3,3,3,0.614,2,0
00274.png,1.6130719780921936,3,3,3,3,3,3,3,0.613,2,0
01406.png,1.54890675842762,2,2,2,2,2,2,2,0.549,2,0
02956.png,1.5389279847343764,8,12,11,11,11,12,12,0.539,2,10
01845.png,1.5202850699424744,2,8,5,8,3,8,8,0.52,2,0
00461.png,1.4967727810144424,9,3,6,6,6,7,8,0.497,3,2
00726.png,1.4260253310203552,1,1,1,1,1,1,1,0.926,1,0
00725.png,1.418031394481659,1,1,1,1,1,1,1,0.918,1,0
00349.png,1.3866456747055054,1,1,1,1,1,1,1,0.887,1,0
00762.png,1.3744227886199951,1,1,1,1,1,1,1,0.874,1,0
00353.png,1.3667728900909424,1,1,1,1,1,1,1,0.867,1,0
00370.png,1.3608092069625854,1,1,1,1,1,1,1,0.861,1,0
00255.png,1.298420488834381,1,2,2,2,2,2,2,0.798,1,0
00712.png,1.2659406661987305,1,0,1,1,1,1,1,0.766,1,0
01413.png,1.2570688724517822,1,1,1,1,1,1,1,0.757,1,0
01911.png,1.2538976073265076,1,1,1,1,1,1,1,0.754,1,0
01415.png,1.2390949726104736,1,1,1,1,1,1,1,0.739,1,0
02821.png,1.2314262464642525,4,4,3,3,3,4,4,0.731,1,3
03878.png,1.2224857409795127,6,7,6,6,6,6,6,0.722,5,1
01811.png,1.2020411690076194,4,2,2,2,2,2,3,0.702,2,0
00676.png,1.1885481774806976,4,4,5,5,5,6,5,0.689,0,5
00159.png,1.1884032011032104,6,10,8,9,9,10,10,0.688,1,9
02731.png,1.1639604667822518,4,6,6,6,6,6,6,0.664,1,5
00760.png,1.1570256352424622,1,0,1,1,1,1,1,0.657,1,0
00878.png,1.1515899896621704,3,2,5,6,5,5,4,0.652,3,0
00150.png,1.109882891178131,11,8,9,9,9,11,11,0.61,1,9
02667.png,1.1052276832716805,2,6,7,7,6,8,7,0.605,0,7
00118.png,1.071697822213173,6,7,14,15,14,11,10,0.572,4,4
00572.png,1.0402710329402578,11,11,10,9,12,11,11,0.54,4,7
01122.png,1.0321669578552246,4,4,5,5,3,4,4,0.532,4,0
02641.png,1.0244756986697516,5,1,5,5,7,7,6,0.524,0,6
01147.png,1.0208323746919632,1,2,2,2,1,2,2,0.521,1,1
04006.png,1.0204876959323883,3,3,3,3,3,3,3,0.52,1,1
00453.png,1.0104340314865112,5,4,5,4,5,5,5,0.51,1,2
02754.png,0.873506486415863,1,1,1,1,1,1,1,0.874,0,1
00825.png,0.8514203429222107,3,4,5,4,4,5,4,0.851,3,0
00339.png,0.8142214119434357,1,0,0,0,1,0,1,0.314,1,0
02869.png,0.8091188867886862,2,3,3,3,3,3,3,0.809,0,3
02011.png,0.7729942351579666,4,4,4,4,4,4,4,0.773,0,4
02278.png,0.7318251967430115,5,5,5,5,5,5,5,0.732,0,5
02440.png,0.6440822978814443,3,3,3,3,3,3,3,0.644,0,3
03109.png,0.6345779697100321,4,6,6,5,6,6,6,0.635,0,4
00443.png,0.5978592187166214,4,7,5,4,5,5,6,0.598,1,4
00555.png,0.5412434250116349,10,10,9,12,11,11,10,0.541,6,4
00409.png,0.5400856932004294,10,2,9,9,9,6,9,0.54,4,3
00643.png,0.5153026580810547,1,1,1,1,1,1,1,0.515,0,1
04018.png,0.3374389410018921,2,2,2,3,2,2,2,0.837,2,0
01331.png,0.32993513345718384,2,2,2,3,2,2,2,0.83,2,0
00922.png,0.2615228295326233,2,1,3,2,2,2,2,0.762,2,0
00787.png,0.23620879650115967,2,1,2,3,1,2,2,0.736,2,0
01919.png,0.17001286149024963,1,2,3,2,2,2,2,0.67,2,0
02083.png,0.1435655951499939,7,8,9,8,8,8,8,0.644,2,6
00867.png,0.13200581073760986,2,1,3,3,2,2,2,0.632,2,0
00687.png,0.09283269303185604,6,6,8,9,8,8,7,0.593,1,6
01861.png,0.05236943066120148,2,6,4,7,3,6,6,0.552,2,0
01760.png,0.03759745756785071,3,3,3,3,4,3,3,0.538,2,0
01912.png,0.029232680797576904,2,2,3,3,2,2,2,0.529,2,0
01562.png,0.0,0,0,0,0,0,0,0,0.0,0,0
00719.png,0.0,0,0,0,0,0,0,0,0.0,0,0
01579.png,0.0,0,0,0,0,0,0,0,0.0,0,0
01437.png,0.0,0,0,0,0,0,0,0,0.0,0,0
01345.png,0.0,0,0,0,0,0,0,0,0.0,0,0
01527.png,-0.13306504487991333,2,3,2,2,2,2,2,0.867,2,0
01803.png,-0.1460767388343811,3,2,2,2,2,2,2,0.854,2,0
00716.png,-0.22627902030944824,1,0,1,2,1,1,1,0.774,1,0
03769.png,-0.22823547571897507,7,9,8,8,8,8,8,0.772,2,6
00290.png,-0.28780969977378845,2,5,4,4,4,4,4,0.712,2,0
00215.png,-0.28867787718772886,5,5,6,5,4,5,5,0.711,1,3
01043.png,-0.30134769678115836,4,5,6,7,6,6,5,0.699,4,1
03813.png,-0.307157670458158,7,5,5,5,5,6,6,0.693,2,4
00334.png,-0.30800724029541016,1,0,1,1,2,1,1,0.692,1,0
00801.png,-0.31050407886505127,3,2,2,2,2,2,2,0.689,2,0
03045.png,-0.3804725781083107,8,8,9,9,8,8,8,0.62,1,7
01204.png,-0.407408744096756,2,4,6,3,3,3,4,0.593,4,0
01393.png,-0.45145876705646515,2,3,1,2,2,1,2,0.549,2,0
00284.png,-0.45769938081502914,2,5,4,4,4,3,4,0.542,2,0
03381.png,-0.4796701739816105,9,20,15,15,13,15,17,0.52,4,13
01724.png,-0.49678562084833766,4,4,3,3,3,3,3,0.503,2,0
03100.png,-0.6208495497703552,3,3,3,3,4,3,3,0.879,0,3
02860.png,-0.6264962255954742,2,3,2,2,2,2,2,0.874,1,1
00325.png,-0.6946282386779785,1,2,1,1,1,1,1,0.805,1,0
00661.png,-0.7015247742335001,3,3,3,4,4,3,3,0.798,0,3
01511.png,-0.7386335134506226,1,2,1,1,1,1,1,0.761,1,0
03473.png,-0.8326266937785678,3,9,9,10,8,9,9,0.667,0,9
02896.png,-0.8733057578404745,3,3,2,4,3,3,3,0.627,0,2
03589.png,-0.8862662050459118,8,10,10,9,8,9,9,0.614,4,4
02757.png,-1.1215810179710388,0,2,1,1,1,1,1,0.878,0,1
02352.png,-1.1352089941501617,2,3,2,2,2,2,2,0.865,0,2
02369.png,-1.217593471209208,4,3,3,3,3,3,3,0.782,0,3
01017.png,-1.23793093363444,3,4,3,4,3,3,3,0.762,3,0
02033.png,-1.2424717148145041,4,3,3,3,3,3,3,0.758,0,3
02405.png,-1.2789106667041779,3,5,4,4,4,4,4,0.721,0,4
03143.png,-1.2828059121966362,4,5,4,4,4,4,4,0.717,0,3
02394.png,-1.3405908346176147,5,4,4,4,4,4,4,0.659,0,4
01212.png,-1.351858451962471,3,4,3,6,4,4,4,0.648,2,1
02002.png,-1.3708289921283723,4,6,4,3,4,5,5,0.629,0,5
03375.png,-1.3915899455547334,4,6,4,5,4,5,5,0.608,0,5
02233.png,-1.4440750692571913,6,9,6,5,5,6,7,0.556,1,6
02236.png,-1.4677105275067417,5,12,11,9,6,11,11,0.532,0,11
02322.png,-1.4751781299710274,0,5,3,3,3,4,4,0.525,0,4
01388.png,-1.5,0,0,0,0,0,1,0,0.0,0,0
01547.png,-1.5,0,0,0,0,1,0,0,0.0,0,0
02530.png,-1.5934735536575317,2,0,1,1,0,1,1,0.407,0,1
04160.png,-1.706051304936409,3,9,8,9,9,8,8,0.794,2,6
04053.png,-1.72832909822464,6,3,6,6,6,5,5,0.772,2,3
00031.png,-1.7341205552220345,8,7,9,8,10,8,8,0.766,1,7
00033.png,-1.8016906410455702,11,9,10,10,11,10,10,0.698,2,8
03289.png,-1.9049760732385848,4,11,8,8,8,8,9,0.595,0,6
02486.png,-1.9785328606764474,5,7,7,6,6,5,6,0.521,2,4
01079.png,-2.0,1,0,0,0,0,0,0,0.0,0,0
01432.png,-2.0,1,0,0,0,0,0,0,0.0,0,0
00910.png,-2.153051495552063,2,0,2,2,2,2,1,0.847,1,0
01707.png,-2.170927256345749,3,2,2,2,2,3,2,0.829,1,1
02739.png,-2.1888542473316193,3,3,2,3,2,2,2,0.811,1,1
01729.png,-2.454464852809906,3,5,3,3,3,3,3,0.546,2,0
01505.png,-2.4549906253814697,2,2,1,2,1,1,1,0.545,1,0
01773.png,-2.479207530617714,3,2,3,2,2,3,2,0.521,1,0
02195.png,-2.4805463308637794,6,13,11,11,9,11,11,0.519,2,9
00653.png,-2.489114999771118,3,1,3,4,5,2,3,0.511,0,3
00419.png,-2.606111615896225,3,2,3,3,2,3,2,0.894,0,2
01422.png,-2.6613678336143494,3,3,1,1,1,1,1,0.839,1,0
01994.png,-2.7443818747997284,4,5,4,5,4,4,4,0.756,0,4
02213.png,-2.7617253065109253,10,12,11,11,12,11,11,0.738,0,11
01242.png,-2.82129368185997,2,4,2,4,3,4,3,0.679,0,3
03462.png,-2.863150503486395,5,9,9,8,6,8,8,0.637,0,8
01249.png,-2.925502121448517,3,2,2,3,3,2,2,0.574,0,2
02651.png,-2.991967111825943,3,2,1,1,3,1,2,0.508,0,2
01115.png,-3.009498119354248,6,2,5,4,5,5,4,0.491,4,0
00652.png,-3.093482712904612,4,4,4,4,1,3,3,0.407,0,2
02544.png,-3.1220681965351105,2,3,2,1,2,3,2,0.378,0,2
00950.png,-3.2192886769771576,3,1,4,2,3,2,2,0.781,2,0
02478.png,-3.343348979949951,6,9,9,10,9,8,8,0.657,2,4
00386.png,-3.355759160859244,9,4,7,8,8,9,7,0.644,6,1
03417.png,-3.413119056395122,3,9,6,6,5,7,7,0.587,0,7
01531.png,-3.5,1,0,0,0,1,0,0,0.0,0,0
00232.png,-3.5093149840831757,6,9,8,6,7,7,7,0.491,3,4
02816.png,-3.7077696472406387,5,4,4,6,4,4,4,0.792,1,3
00818.png,-3.7845221161842346,2,1,2,3,1,1,1,0.715,1,0
00606.png,-3.798010579177311,7,8,10,9,8,7,7,0.702,4,3
01741.png,-3.8489338159561157,3,4,2,3,3,3,2,0.651,2,0
00434.png,-3.8512377023696898,12,8,12,12,10,11,10,0.649,5,5
03600.png,-3.8835444301366806,8,13,15,10,8,12,12,0.616,4,8
02119.png,-3.9799133113452365,4,10,6,6,5,6,7,0.52,0,7
00697.png,-3.987238264083862,6,6,5,7,6,6,5,0.513,1,4
01828.png,-4.149703562259674,5,3,2,2,2,2,2,0.85,2,0
01807.png,-4.1513678431510925,5,3,2,2,2,2,2,0.849,2,0
02611.png,-4.1999232570330305,4,4,5,3,4,4,3,0.8,0,3
01227.png,-4.27727593978246,4,2,4,5,5,4,3,0.723,0,3
00479.png,-4.289638325572014,6,1,5,5,5,4,4,0.71,1,3
00042.png,-4.743611931800842,5,9,7,7,8,7,7,0.756,0,7
02142.png,-4.883960127830505,2,5,3,4,2,3,3,0.616,0,3
02310.png,-4.896817609667778,6,3,4,4,4,5,4,0.603,0,4
02473.png,-4.984779924154282,8,15,11,9,10,14,13,0.515,0,13
02527.png,-5.0,1,0,2,1,1,1,0,0.0,0,0
00107.png,-5.056294333934784,8,3,3,5,4,5,5,0.444,1,4
03219.png,-5.4399277784607625,8,11,11,15,12,14,11,0.56,0,11
01710.png,-5.742128431797028,3,5,2,3,3,2,2,0.758,2,0
01186.png,-5.953497886657715,6,9,7,5,5,7,6,0.547,2,2
01806.png,-6.122214734554291,6,2,2,2,2,2,2,0.878,2,0
02606.png,-6.266768857836723,5,7,4,5,4,4,4,0.733,1,3
02556.png,-6.2673221826553345,2,5,3,3,5,3,3,0.733,0,3
02180.png,-6.4638974368572235,8,6,6,4,6,5,5,0.536,1,4
03719.png,-6.660442680120468,5,5,2,3,2,3,2,0.84,0,2
02720.png,-6.813453172643979,3,9,6,7,6,6,6,0.687,0,6
02090.png,-6.850104616747962,8,13,8,7,7,9,9,0.65,1,8
02624.png,-6.951513797044754,3,10,6,8,5,8,7,0.548,0,7
02163.png,-6.9663495644927025,4,7,5,4,5,4,4,0.534,0,4
02762.png,-7.0,0,2,1,2,0,0,0,0.0,0,0
01947.png,-7.1092878758907325,14,12,10,10,13,10,10,0.391,10,0
03260.png,-7.305508639663458,6,12,8,7,8,8,8,0.694,0,6
01981.png,-7.432578429579735,1,5,2,2,2,4,2,0.567,2,0
00587.png,-7.446021957056862,3,10,9,8,6,8,7,0.554,2,4
00527.png,-7.516220045941216,10,7,9,6,7,9,7,0.484,2,5
01299.png,-7.64291035135587,4,0,3,6,7,4,3,0.357,0,1
02464.png,-7.884627930819988,6,10,9,11,8,9,8,0.615,0,7
00738.png,-7.993857383728027,0,5,3,1,4,2,2,0.506,1,0
02572.png,-8.380156606435776,3,6,4,4,2,5,3,0.62,0,3
03438.png,-8.475681052758144,4,16,15,10,10,13,13,0.524,0,13
02102.png,-8.999990172684193,4,8,4,4,4,5,4,0.5,0,3
01954.png,-9.07608938217163,7,13,11,13,12,8,9,0.424,9,0
01482.png,-9.117826497554779,3,9,4,5,4,6,5,0.382,0,5
01454.png,-9.52469977736473,5,13,6,5,3,6,7,0.475,1,6
02120.png,-9.83001219374793,6,11,7,9,8,8,7,0.67,1,6
01270.png,-10.067189708352089,5,0,3,5,3,2,2,0.433,0,2
02045.png,-10.39121000468731,5,13,7,8,8,9,8,0.609,1,7
00525.png,-13.750588178634644,12,5,7,7,8,8,6,0.749,1,5
00421.png,-14.378397982567549,15,4,8,10,9,7,8,0.622,4,4
03281.png,-16.363660713036854,2,10,3,5,2,4,3,0.636,0,3
02495.png,-16.933647106091183,4,11,3,4,3,3,3,0.566,0,3
03409.png,-17.349433264949106,10,17,15,9,8,12,11,0.651,0,9
01492.png,-17.64377275109291,1,9,2,5,3,4,2,0.356,1,1
01471.png,-18.12066043416659,5,11,3,5,1,4,3,0.379,1,2
01462.png,-19.063315510749817,3,11,2,3,0,2,2,0.437,0,2
01486.png,-23.642106868326664,2,13,6,8,4,5,4,0.358,0,4
01165.png,-26.101896345615387,13,2,1,1,1,3,1,0.898,0,1
03173.png,-444.82392501831055,3,3,300,4,3,3,3,0.676,0,3
